"S.No.","Country_Other","TotalCases","TotalDeaths","TotalRecovered","ActiveCases","Serious_Critical","Tot_Cases_1M_pop","Deaths_1M_pop","TotalTests","Tests_1M_pop","Population","Continent","X1_Caseevery_X_ppl","X1_Deathevery_X_ppl","X1_Testevery_X_ppl","Active.Cases.1M.pop"
1,"USA",33628065,598567,26667224,6362274,8611,101082,1799,462798339,1391121,332680263,"North America",10,556,1,"19,124"
2,"India",24263390,264124,20281508,3717758,8944,17434,190,311324100,223698,1391716282,"Asia",57,5269,4,"2,671"
3,"Brazil",15436827,430596,13979329,1026902,8318,72180,2013,46970130,219625,213864852,"South America",14,497,5,"4,802"
4,"France",5841129,107250,4999079,734800,4442,89316,1640,80214807,1226555,65398484,"Europe",11,610,1,"11,236"
5,"Turkey",5083996,44059,4856763,183174,2765,59726,518,50259943,590444,85122228,"Asia",17,1932,2,"2,152"
6,"Russia",4922901,115116,4537634,270151,2300,33721,789,132700000,908975,145988633,"Europe",30,1268,1,"1,850"
7,"UK",4446824,127668,4260169,58987,129,65208,1872,169007195,2478319,68194286,"Europe",15,534,0,"865"
8,"Italy",4146722,123927,3683189,339606,1860,68672,2052,62405408,1033462,60384820,"Europe",15,487,1,"5,624"
9,"Spain",3598452,79281,3297340,221831,1931,76939,1695,47213067,1009463,46770455,"Europe",13,590,1,"4,743"
10,"Germany",3578313,86398,3259000,232915,4376,42591,1028,58093759,691463,84015677,"Europe",23,972,1,"2,772"
11,"Argentina",3242103,69254,2891435,281414,5420,71171,1520,12142248,266547,45553852,"South America",14,658,4,"6,178"
12,"Colombia",3067879,79760,2874656,113463,6582,59743,1553,15711926,305972,51350926,"South America",17,644,3,"2,210"
13,"Poland",2849014,71311,2589277,188426,1690,75349,1886,15078062,398778,37810712,"Europe",13,530,3,"4,983"
14,"Iran",2732152,76433,2196197,459522,5468,32173,900,17750149,209022,84920057,"Asia",31,1111,5,"5,411"
15,"Mexico",2375115,219901,1895483,259731,4798,18256,1690,6811363,52354,130101834,"North America",55,592,19,"1,996"
16,"Ukraine",2143448,47620,1832601,263227,177,49268,1095,9790291,225034,43505911,"Europe",20,914,4,"6,050"
17,"Peru",1873316,65316,1720665,87335,2681,56141,1957,11901521,356677,33367789,"South America",18,511,3,"2,617"
18,"Indonesia",1734285,47823,1592886,93576,NA,6283,173,15410887,55833,276019737,"Asia",159,5772,18,"339"
19,"Czechia",1651178,29857,1588346,32975,319,153939,2784,21004062,1958207,10726173,"Europe",6,359,1,"3,074"
20,"South Africa",1605252,55012,1520878,29362,546,26775,918,11010999,183659,59953584,"Africa",37,1090,5,"490"
21,"Netherlands",1589282,17423,1351998,219861,722,92574,1015,13171698,767238,17167676,"Europe",11,985,1,"12,807"
22,"Canada",1314778,24851,1215616,74311,1327,34574,653,33130218,871208,38027907,"North America",29,1530,1,"1,954"
23,"Chile",1266601,27520,1204176,34905,2976,65770,1429,13750280,714007,19257906,"South America",15,700,1,"1,813"
24,"Iraq",1132092,15883,1028627,87582,471,27613,387,9817969,239473,40998203,"Asia",36,2581,4,"2,136"
25,"Philippines",1131467,18958,1053523,58986,1819,10208,171,12529921,113047,110838623,"Asia",98,5847,9,"532"
26,"Romania",1070605,29413,1022029,19163,809,55975,1538,8626765,451040,19126382,"Europe",18,650,2,"1,002"
27,"Sweden",1037126,14275,878189,144662,341,102143,1406,8798383,866521,10153687,"Europe",10,711,1,"14,247"
28,"Belgium",1026473,24645,897904,103924,657,88236,2118,13182705,1133193,11633238,"Europe",11,472,1,"8,933"
29,"Pakistan",873220,19384,780438,73398,4330,3888,86,12380676,55128,224582574,"Asia",257,11586,18,"327"
30,"Portugal",840929,16999,801961,21969,70,82680,1671,11052822,1086705,10170947,"Europe",12,598,1,"2,160"
31,"Israel",839076,6379,831922,775,68,91228,694,14487253,1575114,9197590,"Asia",11,1442,1,"84"
32,"Hungary",796390,29041,608891,158458,338,82621,3013,5607336,581728,9639099,"Europe",12,332,2,"16,439"
33,"Bangladesh",779535,12102,720471,46962,1149,4693,73,5698528,34307,166105663,"Asia",213,13725,29,"283"
34,"Jordan",723069,9224,710445,3400,729,70265,896,6912958,671776,10290568,"Asia",14,1116,1,"330"
35,"Serbia",705185,6646,673038,25501,101,80992,763,3989567,458209,8706867,"Europe",12,1310,2,"2,929"
36,"Switzerland",679510,10729,617283,51498,179,78021,1232,7273942,835192,8709301,"Europe",13,812,1,"5,913"
37,"Japan",665547,11255,579446,74846,1209,5276,89,12913954,102377,126140961,"Asia",190,11208,10,"593"
38,"Austria",635780,10455,612523,12802,322,70246,1155,35939913,3970903,9050816,"Europe",14,866,0,"1,414"
39,"UAE",542158,1623,522356,18179,NA,54251,162,46613437,4664386,9993478,"Asia",18,6157,0,"1,819"
40,"Lebanon",534968,7569,492270,35129,333,78684,1113,4163257,612338,6798949,"Asia",13,898,2,"5,167"
41,"Morocco",514670,9091,502205,3374,96,13803,244,6367171,170757,37287963,"Africa",72,4102,6,"90"
42,"Malaysia",462190,1822,418897,41471,482,14124,56,10397529,317738,32723609,"Asia",71,17960,3,"1,267"
43,"Nepal",439658,4669,327653,107336,NA,14859,158,2733510,92386,29587919,"Asia",67,6337,11,"3,628"
44,"Saudi Arabia",430505,7122,414139,9244,1344,12202,202,17812376,504872,35280979,"Asia",82,4954,2,"262"
45,"Bulgaria",413320,17194,360002,36124,516,59875,2491,2642503,382801,6903067,"Europe",17,401,3,"5,233"
46,"Ecuador",405783,19442,342878,43463,594,22703,1088,1355202,75820,17873899,"South America",44,919,13,"2,432"
47,"Slovakia",387162,12168,370076,4918,214,70884,2228,2752948,504025,5461931,"Europe",14,449,2,"900"
48,"Greece",373881,11322,335156,27403,677,36023,1091,8772810,845253,10378916,"Europe",28,917,1,"2,640"
49,"Belarus",373351,2681,363873,6797,NA,39522,284,6050830,640528,9446632,"Europe",25,3524,2,"720"
50,"Panama",369455,6288,358358,4809,105,84480,1438,2497125,570996,4373282,"North America",12,695,2,"1,100"
51,"Kazakhstan",353140,4017,310168,38955,221,18615,212,10691113,563567,18970446,"Asia",54,4723,2,"2,053"
52,"Croatia",349084,7664,334206,7214,207,85490,1877,1912994,468491,4083312,"Europe",12,533,2,"1,767"
53,"Azerbaijan",328994,4754,312460,11780,NA,32197,465,3368394,329650,10218087,"Asia",31,2149,3,"1,153"
54,"Georgia",327831,4397,307334,16100,NA,82317,1104,4511631,1132854,3982534,"Asia",12,906,1,"4,043"
55,"Bolivia",324868,13345,267973,43550,158,27507,1130,1287762,109037,11810296,"South America",36,885,9,"3,687"
56,"Tunisia",324823,11693,284754,28376,445,27238,981,1378729,115613,11925349,"Africa",37,1020,9,"2,379"
57,"Paraguay",307457,7427,254360,45670,592,42654,1030,1176104,163164,7208106,"South America",23,971,6,"6,336"
58,"Palestine",303270,3401,288891,10978,78,58284,654,1784690,342992,5203302,"Asia",17,1530,3,"2,110"
59,"Kuwait",290006,1681,275745,12580,190,67053,389,2446116,565576,4324999,"Asia",15,2573,2,"2,909"
60,"Costa Rica",279926,3514,219105,57307,482,54521,684,1083035,210942,5134282,"North America",18,1461,5,"11,162"
61,"Dominican Republic",274319,3560,232625,38134,242,25071,325,1461677,133586,10941808,"North America",40,3074,7,"3,485"
62,"Ethiopia",264960,3951,215734,45275,653,2257,34,2640295,22488,117408852,"Africa",443,29716,44,"386"
63,"Denmark",264465,2499,249487,12479,33,45520,430,45701715,7866255,5809844,"Europe",22,2325,0,"2,148"
64,"Lithuania",263475,4084,237431,21960,158,97972,1519,3074012,1143060,2689283,"Europe",10,658,1,"8,166"
65,"Ireland",254870,4941,237168,12761,39,51124,991,4729538,948682,4985377,"Europe",20,1009,1,"2,560"
66,"Moldova",253386,5995,244298,3093,171,62940,1489,1033892,256814,4025841,"Europe",16,672,4,"768"
67,"Slovenia",248520,4314,236049,8157,125,119528,2075,1224095,588738,2079185,"Europe",8,482,2,"3,923"
68,"Egypt",242120,14150,179261,48709,90,2328,136,2715258,26109,103995350,"Africa",430,7349,38,"468"
69,"Guatemala",238787,7832,218321,12634,5,13120,430,1322009,72635,18200794,"North America",76,2324,14,"694"
70,"Uruguay",231901,3318,201367,27216,511,66559,952,1965821,564219,3484143,"South America",15,1050,2,"7,811"
71,"Honduras",223922,5898,82187,135837,510,22302,587,668892,66621,10040310,"North America",45,1702,15,"13,529"
72,"Armenia",220447,4301,207464,8682,NA,74274,1449,1030335,347144,2968036,"Asia",13,690,3,"2,925"
73,"Qatar",212667,524,205750,6393,215,75741,187,1964598,699692,2807805,"Asia",13,5358,1,"2,277"
74,"Venezuela",211838,2352,195380,14106,316,7468,83,3359014,118416,28366129,"South America",134,12060,8,"497"
75,"Oman",202713,2148,186391,14174,255,38848,412,1550000,297042,5218121,"Asia",26,2429,3,"2,716"
76,"Bosnia and Herzegovina",202143,8981,168549,24613,NA,61948,2752,937964,287444,3263121,"Europe",16,363,3,"7,543"
77,"Bahrain",196105,715,179958,15432,166,111921,408,4307946,2458628,1752175,"Asia",9,2451,0,"8,807"
78,"Libya",181179,3085,167629,10465,NA,26062,444,981532,141190,6951847,"Africa",38,2253,7,"1,505"
