"#","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Population","Continent","1 Caseevery X ppl","1 Deathevery X ppl","1 Testevery X ppl","New Cases/1M pop","New Deaths/1M pop","Active Cases/1M pop"
NA,"North America","39,078,544","+10,176","876,265","+422","31,189,198","+6,842","7,013,081","16,401","","","","","","North America","","",NA,NA,NA,""
NA,"Asia","45,968,520","+271,064","594,763","+2,778","40,062,750","+265,197","5,311,007","33,111","","","","","","Asia","","",NA,NA,NA,""
NA,"South America","26,416,486","","718,992","","23,965,004","+1,461","1,732,490","28,211","","","","","","South America","","",NA,NA,NA,""
NA,"Europe","45,930,422","+57,322","1,045,997","+1,782","41,511,046","+102,013","3,373,379","23,332","","","","","","Europe","","",NA,NA,NA,""
NA,"Africa","4,709,177","+539","125,949","+11","4,243,741","+493","339,487","3,062","","","","","","Africa","","",NA,NA,NA,""
NA,"Oceania","65,872","+287","1,225","+3","61,354","+27","3,293","3","","","","","","Australia/Oceania","","",NA,NA,NA,""
NA,"","721","","15","","706","","0","0","","","","","","","","",NA,NA,NA,""
NA,"World","162,169,742","+339,388","3,363,206","+4,996","141,033,799","+376,033","17,772,737","104,120","20,805","431.5","","","","All","","",NA,NA,NA,""
1,"USA","33,628,065","+1,968","598,567","+27","26,667,224","+25","6,362,274","8,611","101,082","1,799","462,798,339","1,391,121","332,680,263","North America","10","556",1,6,0.08,"19,124"
2,"India","24,263,390","+217,270","264,124","+1,774","20,281,508","+208,141","3,717,758","8,944","17,434","190","311,324,100","223,698","1,391,716,282","Asia","57","5,269",4,156,1,"2,671"
3,"Brazil","15,436,827","","430,596","","13,979,329","","1,026,902","8,318","72,180","2,013","46,970,130","219,625","213,864,852","South America","14","497",5,NA,NA,"4,802"
4,"France","5,841,129","","107,250","","4,999,079","","734,800","4,442","89,316","1,640","80,214,807","1,226,555","65,398,484","Europe","11","610",1,NA,NA,"11,236"
5,"Turkey","5,083,996","","44,059","","4,856,763","","183,174","2,765","59,726","518","50,259,943","590,444","85,122,228","Asia","17","1,932",2,NA,NA,"2,152"
6,"Russia","4,922,901","+9,462","115,116","+393","4,537,634","+9,756","270,151","2,300","33,721","789","132,700,000","908,975","145,988,633","Europe","30","1,268",1,65,3,"1,850"
7,"UK","4,446,824","+2,193","127,668","+17","4,260,169","+1,871","58,987","129","65,208","1,872","169,007,195","2,478,319","68,194,286","Europe","15","534",0,32,0.2,"865"
8,"Italy","4,146,722","+7,567","123,927","+182","3,683,189","+13,782","339,606","1,860","68,672","2,052","62,405,408","1,033,462","60,384,820","Europe","15","487",1,125,3,"5,624"
9,"Spain","3,598,452","","79,281","","3,297,340","","221,831","1,931","76,939","1,695","47,213,067","1,009,463","46,770,455","Europe","13","590",1,NA,NA,"4,743"
10,"Germany","3,578,313","+2,669","86,398","+122","3,259,000","+18,700","232,915","4,376","42,591","1,028","58,093,759","691,463","84,015,677","Europe","23","972",1,32,1,"2,772"
11,"Argentina","3,242,103","","69,254","","2,891,435","","281,414","5,420","71,171","1,520","12,142,248","266,547","45,553,852","South America","14","658",4,NA,NA,"6,178"
12,"Colombia","3,067,879","","79,760","","2,874,656","","113,463","6,582","59,743","1,553","15,711,926","305,972","51,350,926","South America","17","644",3,NA,NA,"2,210"
